Region,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
Bangsamoro Autonomous Region in Muslim Mindanao,1125,10215568,7070825,7016857,76032,8514,14504,16907,11640,16221,13633,25164,17528,22468,50647,10224,14561,10536,25809,19032,60447,38758,30324,25163,19749,15481,16609,19418
Bicol Region,1350,13914128,9468918,9471192,49424,17092,5401,8241,21377,13957,39138,24884,13900,21191,40693,6266,19326,8090,16567,7873,25466,35399,10822,10640,17158,9634,6771,7763
CALABARZON,1125,13431784,9179626,9156610,61288,29791,14722,13395,17470,26229,42556,17405,28157,27101,88123,3338,41411,11770,31007,7301,28547,25907,14879,17952,18492,11946,14269,13983
Cagayan Valley,1125,21063272,13333213,13080456,53448,16678,25584,76137,23795,38006,52372,56589,27103,43111,61550,32074,49763,28805,25207,25571,50748,58779,67037,23553,31329,35101,21273,27776
Caraga,1125,15032848,13109307,13075441,60992,36866,37522,21442,77320,46852,48655,43385,42458,55723,72663,62242,81682,32682,156263,119542,124190,152164,80301,89888,69343,65763,88098,43310
Central Luzon,1575,17049400,8480710,8554537,117904,12129,13304,11402,12152,14879,18639,18575,8745,17812,19033,10488,17176,10245,10617,7785,23473,16932,11298,5022,7653,8794,7965,9980
Central Visayas,900,11343448,5607301,5308796,72688,7686,6594,4731,7208,9950,9652,13528,5659,22680,15681,8846,10048,4590,5284,2291,10013,16481,5715,3418,3380,5196,30570,2994
Cordillera Administrative Region,1350,14443360,10790479,10516938,25856,12188,16110,15195,22758,25507,27654,30119,14242,30547,33694,15367,17791,24397,23536,25170,52067,49949,54127,22017,27247,28374,23580,29178
Davao Region,900,15127464,11818426,11633750,108328,32128,21066,13150,39732,28550,35972,38883,17523,37475,58361,27092,51805,106631,106666,39347,84115,99955,62496,53159,51885,44522,45354,46451
Eastern Visayas,1350,16715736,14233595,14104091,36600,25100,24630,16975,26487,32162,22058,38218,12088,40887,65173,22048,15559,126654,202393,30474,73229,66979,21897,33796,56140,20638,54542,14662
Ilocos Region,900,10029848,4908819,4685941,34552,2302,5040,877,3849,2640,3355,2625,3162,6317,4986,1590,2999,2736,3028,1259,4526,3783,2119,1520,1684,1558,2083,2385
MIMAROPA Region,1125,21558736,16338740,16136454,118016,30308,23825,30293,56127,63349,63833,101862,48672,57119,138021,14634,62122,51866,113177,134787,245561,159277,86151,113492,108658,78056,271966,58837
Northern Mindanao,1125,13928280,9056113,9036202,118888,6475,6734,5217,11476,14137,14397,17368,9431,15116,36809,10223,14669,10676,22925,19247,49223,36961,19669,19888,19619,15588,12888,13627
SOCCSKSARGEN,675,9631816,5927763,5772531,140960,7218,9005,7484,13508,13427,21309,22209,16347,14969,39426,11272,16983,8530,20624,18565,34305,40275,28238,19259,15805,12394,16155,15773
Western Visayas,1350,16145736,7219373,7148380,83608,13394,5953,3568,7840,8553,13541,12179,14950,14789,15022,5852,24015,11761,14630,3992,24261,28256,12567,12962,8525,7094,13200,6465
Zamboanga Peninsula,675,11521072,7890184,7781102,69928,16487,22840,31634,29201,36600,23150,55741,24714,47786,47190,18007,29409,22200,37400,55505,114334,66393,49518,50973,43680,25690,46555,26250
